版本编号,文献编号,原版出版年份,所用版本年份,中文译本信息,不同译本差异,推荐使用版本,引用页码版本,备注
ED00001,B1261,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/01-Learning to Consume Early DepartmentStores and the.md
ED00002,B1262,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/02-The Department Stores as Commercial Innovators Fro.md
ED00003,B1263,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/03-From Looking to Buying Innovations of the Early De.md
ED00004,B1264,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/04-Early Department Stores and the Feminization' of S.md
ED00005,B1265,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/05-Early Department Stores and Urban Culture Notes Re.md
ED00006,B1266,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo.md
ED00007,B1267,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo_01_preface_Learning_to_Consume__Early_Dep.md
ED00008,B1268,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo_02_body_The_Department_Stores_as_Comme.md
ED00009,B1269,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo_03_bibliography_Notes___References.md
ED00010,B1225,2004,2004,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/[日]良品計畫株式會社：《MUJI 無印良品》，朱锷 译，2004/01-封面.md
