status,report,source,source_chars
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131987-Sexual-Division-of-Labour-in-theArts-and-Crafts-Movement-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/12-Sexual Division of Labour in theArts and Crafts Movement.md",35380
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131988-11The-Arts-and-Crafts-AlternativeLynne-Walker-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/13-11The Arts and Crafts AlternativeLynne Walker.md",22401
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131989-12Women-and-the-Inter-warHandicrafts-Revival-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/14-12Women and the Inter-warHandicrafts Revival.md",26726
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131990-13A-View-from-the-InteriorAlison-Ravetz-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/15-13A View from the InteriorAlison Ravetz.md",50729
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131991-14The-Designer-Housewife-in-the1950s-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/16-14The Designer Housewife in the1950s.md",23246
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131992-Inside-Pram-Town-A-CaseStudy-of-Harlow-HouseInteriors-1951-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/17-Inside Pram Town A CaseStudy of Harlow HouseInteriors, 1951–.md",59835
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131993-Appendix-Women-at-theArchive-of-Art-and-Design-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/18-Appendix Women at theArchive of Art and Design.md",2969
rewritten,"00-books-result/Attfield：《A View from the interior feminism, women, and design》/B44131994-Notes-on-the-Contributors-report.md","00-books/Attfield：《A View from the interior feminism, women, and design》/19-Notes on the Contributors.md",14991
rewritten,00-books-result/Batchen：《Burning with desire the conception of photography》/B44131995-CONTENTS-report.md,00-books/Batchen：《Burning with desire the conception of photography》/01-CONTENTS.md,13827
rewritten,00-books-result/Batchen：《Burning with desire the conception of photography》/B44131996-PHOTOGRAPHIES-report.md,00-books/Batchen：《Burning with desire the conception of photography》/02-PHOTOGRAPHIES.md,17703
