status,report,source,chars
skipped_manual_p3,00-books-result/Design and the Creation of Value -- John Heskett; Clive Dilnot; Suzan Boztepe --/23-1. Design is innately concerned with changesup2sup-report.md,00-books/Design and the Creation of Value -- John Heskett; Clive Dilnot; Suzan Boztepe --/23-1. Design is innately concerned with changesup2sup.md,2795
skipped_manual_p3,00-books-result/Design and the Creation of Value -- John Heskett; Clive Dilnot; Suzan Boztepe --/25-The implications for strategy-report.md,00-books/Design and the Creation of Value -- John Heskett; Clive Dilnot; Suzan Boztepe --/25-The implications for strategy.md,2986
skipped_manual_p3,"00-books-result/Forty, Adrian：Objects of Desire, 1986/193-00000193-report.md","00-books/Forty, Adrian：Objects of Desire, 1986/193-00000193.md",2379
skipped_manual_p3,"00-books-result/Forty, Adrian：Objects of Desire, 1986/91-00000091-report.md","00-books/Forty, Adrian：Objects of Desire, 1986/91-00000091.md",2243
rewritten,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B90000001-05-EDITORS-FOREWORD-report.md","00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/05-EDITORS’ FOREWORD.md",7493
rewritten,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B90000002-34-STRATOS--en-bl-melkesjokolade-BUT-INSIDE-THEY-A-report.md,"00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/34-STRATOS -en blå melkesjokolade! BUT INSIDE, THEY A.md",8914
rewritten,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B90000003-37--FROM-THIS-ROOM-BURPS-AND-FARTS-ARE-EXILED-STAGED-report.md,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/37-‘FROM THIS ROOM BURPS AND FARTS ARE EXILED’ STAGED.md,8982
rewritten,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B90000004-04-Fathers-Masters-and-KingsMirroring-Monarchical-Power-report.md,"00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/04-Fathers, Masters, and KingsMirroring Monarchical Power.md",11214
rewritten,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B90000005-07-The-New-Politicsof-the-EverydayMaking-Class-through-Tasteand-report.md,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/07-The New Politicsof the EverydayMaking Class through Tasteand.md,10786
rewritten,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B90000006-11-IN-THE-LATE-NINETEENTH-CENTURY-THE-FOUR-COUNTRIES-report.md","00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/11-IN THE LATE NINETEENTH CENTURY, THE FOUR COUNTRIES.md",9257
rewritten,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B90000007-13-THE-EPISTLE.-Col.-iii.-1-report.md","00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/13-THE EPISTLE. Col. iii. 1..md",8286
rewritten,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B90000008-15-GENESIS-NOTES-A-NATIONALIST-MANIFESTO-CHRONOLOGY-report.md","00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/15-GENESIS NOTES A NATIONALIST MANIFESTO CHRONOLOGY.md",10228
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B90000009-15-THE-NATURE-OF-GOTHICJohn-Ruskin-1853-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/15-THE NATURE OF GOTHICJohn Ruskin (1853).md",8520
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B90000010-22-INTRODUCTION-TO-MODERNISM-IN-DESIGNPaul-Greenhalgh-1990-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/22-INTRODUCTION TO MODERNISM IN DESIGNPaul Greenhalgh (1990).md",8489
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B90000011-24-WERKBUND-THESES-AND-ANTITHESESHermann-Muthesius-and-Henry-va-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/24-WERKBUND THESES AND ANTITHESESHermann Muthesius and Henry va.md",8966
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B90000012-04-INTRODUCTION-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/04-INTRODUCTION.md",8209
rewritten,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B90000013-12-INTRODUCTION-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/12-INTRODUCTION.md",8243
rewritten,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000014-29-FURTHER-READING-FOR-PART-II-SECTION-2-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/29-FURTHER READING FOR PART II, SECTION 2.md",8029
rewritten,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000015-06-DESIGNING-THE-ARTIFICIALAN-INTERDISCIPLINARY-STUDY-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/06-DESIGNING THE ARTIFICIALAN INTERDISCIPLINARY STUDY.md",10318
rewritten,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000016-08-INFORMATION-AND-REALITY-AT-THE-TURN-OF-THECENTURY-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/08-INFORMATION AND REALITY AT THE TURN OF THECENTURY.md",8712
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000017-10-ADOLF-LOOS-AND-THE-APHORISTIC-STYLERHETORICAL-PRACTICE-IN-EA-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/10-ADOLF LOOS AND THE APHORISTIC STYLERHETORICAL PRACTICE IN EA.md",9598
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000018-12-DOMESTICATION-OF-EVERYDAY-LIFE-TECHNOLOGYDYNAMIC-VIEWS-ON-TH-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/12-DOMESTICATION OF EVERYDAY LIFE TECHNOLOGYDYNAMIC VIEWS ON TH.md",11053
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000019-13-ENVIRONMENTAL-DESIGN-AND-INDUSTRIAL-DESIGNINTEGRATING-KNOWLE-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/13-ENVIRONMENTAL DESIGN AND INDUSTRIAL DESIGNINTEGRATING KNOWLE.md",9624
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000020-16-SIMULATED-SEAS-EXHIBITION-DESIGN-INCONTEMPORARY-AQUARIUMS-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/16-SIMULATED SEAS EXHIBITION DESIGN INCONTEMPORARY AQUARIUMS.md",9771
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000021-21-TYPOGRAPHY-AND-THE-SCREEN-A-TECHNICALCHRONOLOGY-OF-DIGITAL-T-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/21-TYPOGRAPHY AND THE SCREEN A TECHNICALCHRONOLOGY OF DIGITAL T.md",12840
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000022-25-OLYMPUS-AND-THE-MARKETPLACE-REYNERBANHAM-AND-DESIGN-CRITICIS-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/25-OLYMPUS AND THE MARKETPLACE REYNERBANHAM AND DESIGN CRITICIS.md",10291
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000023-27-SOFTENING-UP-THE-FACTS-ENGINEERSIN-DESIGN-MEETINGS-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/27-SOFTENING UP THE FACTS ENGINEERSIN DESIGN MEETINGS.md",10367
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000024-04-INTRODUCTION-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/04-INTRODUCTION.md",8095
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000025-23-INTRODUCTION-TO-SECTION-2-THE-DESIGN-PROCESSAND-THE-SOCIAL-M-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/23-INTRODUCTION TO SECTION 2 THE DESIGN PROCESSAND THE SOCIAL M.md",8239
created,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B90000026-34-SCIENCE-SEMIOTICS-AND-SOCIETYTHE-ULM-HOCHSCHULE-FUR-GESTAL-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/34-SCIENCE, SEMIOTICS, AND SOCIETYTHE ULM HOCHSCHULE FUR GESTAL.md",8806
created,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B90000027-08-Toward-the-Spiritual-in-Design-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/08-Toward the Spiritual in Design.md",10604
created,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B90000028-12-Is-Convenience-the-Enemy-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/12-Is Convenience the Enemy.md",10500
