category,extra_report,source,canonical_report,severity,reason
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0298-quilted-bodies-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0299-projecting-subverting-identities-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0300-courtly-cruising-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0302-performing-masculinity-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0304-objects-and-embodiment-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0304-Objects-Embodiment-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0305-archive-affect-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0306-kitsch-enchantment-power-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0311-irish-romanian-home-making-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0312-meaningful-lasting-experiences-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0312-Meaningful-Lasting-User-Experiences-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0315-section-sex-birth-nurture-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0315-Sex-Birth-Nurture-repeat-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0316-Performing-Masculinity-repeat-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0316-section-performing-masculinity-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0317-love-objects-full-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0318-Love-Objects-preface-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0318-ocr-preface-love-objects-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
