status,report,source,score,margin
needs_new_report,,"00-books/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/05-EDITORS’ FOREWORD.md",0.2440,0.0195
needs_new_report,,"00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/34-STRATOS -en blå melkesjokolade! BUT INSIDE, THEY A.md",0.2795,0.0309
needs_new_report,,00-books/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/37-‘FROM THIS ROOM BURPS AND FARTS ARE EXILED’ STAGED.md,0.2306,0.0255
needs_new_report,,"00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/04-Fathers, Masters, and KingsMirroring Monarchical Power.md",0.3464,0.1035
needs_new_report,,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/07-The New Politicsof the EverydayMaking Class through Tasteand.md,0.3195,0.1097
needs_new_report,,"00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/11-IN THE LATE NINETEENTH CENTURY, THE FOUR COUNTRIES.md",0.2920,0.0555
needs_new_report,,"00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/13-THE EPISTLE. Col. iii. 1..md",0.3419,0.0779
needs_new_report,,"00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/15-GENESIS NOTES A NATIONALIST MANIFESTO CHRONOLOGY.md",0.3462,0.0964
mapped,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0451-Index-report.md","00-books/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/17-INDEX.md",0.6373,0.4566
mapped,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B0455-Acknowledgements-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/02-ACKNOWLEDGEMENTS.md",0.7340,0.1839
mapped,"00-books-result/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/B0466-Contributors-report.md","00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/102-CONTRIBUTORS.md",0.6766,0.2897
needs_new_report,,"00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/15-THE NATURE OF GOTHICJohn Ruskin (1853).md",0.3904,0.1448
needs_new_report,,"00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/22-INTRODUCTION TO MODERNISM IN DESIGNPaul Greenhalgh (1990).md",0.4827,0.1566
needs_new_report,,"00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/24-WERKBUND THESES AND ANTITHESESHermann Muthesius and Henry va.md",0.3011,0.0550
needs_new_report,,"00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/04-INTRODUCTION.md",0.4935,0.0000
needs_new_report,,"00-books/The design history reader -- Grace Lees-Maffei, Rebecca Houze (eds_) -- New York/12-INTRODUCTION.md",0.4871,0.0260
needs_new_report,,"00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/29-FURTHER READING FOR PART II, SECTION 2.md",0.2200,-0.0514
needs_new_report,,"00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/06-DESIGNING THE ARTIFICIALAN INTERDISCIPLINARY STUDY.md",0.4393,0.1492
