action,report,source,match_method,score
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3271-About-Face-Appendix-A-Design-Principles-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/04-Appendix A Design Principles.md",same_book_order,0.600
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3272-About-Face-Appendix-B-Bibliography-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/05-Appendix B Bibliography.md",same_book_order,0.500
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3273-About-Face-titlepage-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/06-Titlepage.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3274-About-Face-copyright-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/07-Copyright.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3275-About-Face-credits-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/08-Credits.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3276-About-Face-dedication-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/09-Dedication.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3277-About-Face-about-the-authors-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/10-About the Authors.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3278-About-Face-acknowledgments-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/11-Acknowledgments.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3279-About-Face-foreword-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/12-Foreword.md",same_book_order,0.333
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3280-About-Face-introduction-fourth-edition-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/13-Introduction to the Fourth Edition.md",same_book_order,0.500
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3281-About-Face-advertisement-mislabeled-research-fragment-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/14-Advertisement.md",same_book_order,0.167
rewrite_existing_unmapped_report,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3282-About-Face-eula-mixed-contents-report.md","00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/15-End-User License Agreement.md",same_book_order,0.000
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3284-American-Art-Deco-introduction-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/02-INTRODUCTION.md,same_book_order,0.167
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3285-American-Art-Deco-exhibitions-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/03-EXHIBITIONS.md,same_book_order,0.167
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3286-American-Art-Deco-lighting-clocks-decorative-arts-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/04-LIGHTINGAND CLOCKS.md,same_book_order,0.100
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3287-American-Art-Deco-architecture-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/05-ARCHITECTURE.md,same_book_order,0.167
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3288-American-Art-Deco-sculpture-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/06-SCULPTURE.md,same_book_order,0.167
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3289-American-Art-Deco-painting-graphics-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/07-PAINTINGAND GRAPHICS.md,same_book_order,0.125
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3290-American-Art-Deco-world-fairs-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/08-WORLDFAIRS.md,same_book_order,0.000
rewrite_existing_unmapped_report,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3291-American-Art-Deco-industrial-design-report.md,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/09-INDUSTRIAL DESIGN.md,same_book_order,0.286
rewrite_existing_unmapped_report,00-books-result/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/B3293-Rodchenko-Photography-photo-eye-main-essay-report.md,00-books/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/02-The Photo-EyeDas Photo-AugeL'œil de l’appareil.md,same_book_order,0.077
rewrite_existing_unmapped_report,00-books-result/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/B3294-Rodchenko-Photography-kino-eye-mess-mend-lef-report.md,00-books/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/03-PA6OTABEPTOBA.md,same_book_order,0.000
rewrite_existing_unmapped_report,00-books-result/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/B3295-Rodchenko-Photography-foreshortening-urban-motion-appendix-report.md,00-books/Alexander Lavrentiev：《Alexander Rodchenko Photography 1924-1954》/04-HOBIsea.md,same_book_order,0.000
rewrite_existing_unmapped_report,"00-books-result/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/B3296-Brodovitch-Portfolio-cover-fragment-report.md","00-books/Alexey Brodovitch：《Kerry William Purcell; Alexey Brodovitch -- 2002, 2002 -- Pha/01-PORTFOLIO.md",same_book_order,0.167
